ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
183	TCGA-EE-A2GP-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
184	TCGA-ER-A197-06A-32D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
185	TCGA-EE-A29S-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
186	TCGA-ER-A42L-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
187	TCGA-EE-A2MJ-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
188	TCGA-D9-A3Z3-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
189	TCGA-D3-A51G-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
190	TCGA-D3-A2JD-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
191	TCGA-D3-A2JL-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
192	TCGA-ER-A198-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
193	TCGA-ER-A19Q-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
194	TCGA-EE-A3JI-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
195	TCGA-D3-A1Q3-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
196	TCGA-EE-A29L-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
197	TCGA-EE-A2ML-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
198	TCGA-BF-A3DN-01A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
199	TCGA-EE-A2MP-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
200	TCGA-DA-A3F2-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
201	TCGA-EE-A3JA-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
202	TCGA-EB-A3XC-01A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
203	TCGA-EB-A3XB-01A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
204	TCGA-D3-A3MV-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
205	TCGA-EE-A3AD-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
206	TCGA-EE-A2GJ-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
207	TCGA-FS-A1ZK-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
208	TCGA-EE-A2MK-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
209	TCGA-D3-A5GS-06A-11D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
